Instrument type,Instrument,Mooring,Serial No,Sample Period (secs),Depth,Max Depth,Bottom Depth at deployment,T-Cal bath?,Lat,Long,Clock offset(s),Clock offset end (s),Anchor deploy time (in),Release time (out),Time in Cal bath,Time out cal bath
SBE37SMP,SBE37SMP,EAC1520,9165,600,60,3500,1525,1,-27.3126,153.969,66,66,21/4/12 13:28,23/8/13 21:30,23/8/13 23:09,24/8/13 5:52
Star Oddi,Starmon Mini,EAC1520,T-4004,300,80,11000,1525,1,-27.3126,153.969,0,0,21/4/12 13:28,23/8/13 21:30,23/8/13 22:52,24/8/13 5:52
Star Oddi,Starmon Mini,EAC1520,T-4005,300,100,11000,1525,1,-27.3126,153.969,0,0,21/4/12 13:28,23/8/13 21:30,23/8/13 22:56,24/8/13 5:52
Star Oddi,Starmon Mini,EAC1520,T-4006,300,120,11000,1525,1,-27.3126,153.969,0,0,21/4/12 13:28,23/8/13 21:30,23/8/13 22:59,24/8/13 5:52
Star Oddi,Starmon Mini,EAC1520,T-4007,300,155,11000,1525,1,-27.3126,153.969,0,0,21/4/12 13:28,23/8/13 21:30,23/8/13 23:03,24/8/13 5:52
Star Oddi,Starmon Mini,EAC1520,T-4008,300,200,11000,1525,1,-27.3126,153.969,0,0,21/4/12 13:28,23/8/13 21:30,23/8/13 23:07,24/8/13 5:52
SBE37SMP,SBE37SMP,EAC1520,9166,600,222,3500,1525,1,-27.3126,153.969,-52,-52,21/4/12 13:28,23/8/13 21:30,23/8/13 23:12,24/8/13 5:52
Star Oddi,Starmon Mini,EAC1520,T-4009,300,270,11000,1525,1,-27.3126,153.969,0,0,21/4/12 13:28,23/8/13 21:30,23/8/13 23:22,24/8/13 5:52
Star Oddi,Starmon Mini,EAC1520,T-4010,300,320,11000,1525,1,-27.3126,153.969,0,0,21/4/12 13:28,23/8/13 21:30,23/8/13 23:26,24/8/13 5:52
Star Oddi,Starmon Mini,EAC1520,T-4011,300,370,11000,1525,1,-27.3126,153.969,0,0,21/4/12 13:28,23/8/13 21:30,23/8/13 23:29,24/8/13 5:52
RDI ADCP,LR75,EAC1520,16072,3600,422,1500,1525,0,-27.3126,153.969,0,0,21/4/12 13:28,23/8/13 21:30,0/01/00 0:00,24/8/13 5:52
Star Oddi,Starmon Mini,EAC1520,T-4012,300,423,11000,1525,1,-27.3126,153.969,0,0,21/4/12 13:28,23/8/13 21:30,23/8/13 23:47,24/8/13 5:52
SBE37SMP,SBE37SMP,EAC1520,9167,600,522,3500,1525,1,-27.3126,153.969,4,4,21/4/12 13:28,23/8/13 21:30,23/8/13 23:53,24/8/13 5:52
Nortek DW,Aquadop DW,EAC1520,A6L-5070 (AQD 6829),1800,622,6000,1525,0,-27.3126,153.969,0,0,21/4/12 13:28,23/8/13 21:30,0/01/00 0:00,24/8/13 5:52
Star Oddi,Starmon Mini,EAC1520,T-4013,300,626,11000,1525,1,-27.3126,153.969,0,0,21/4/12 13:28,23/8/13 21:30,24/8/13 0:05,24/8/13 5:52
Star Oddi,Starmon Mini,EAC1520,T-4014,300,822,11000,1525,1,-27.3126,153.969,0,0,21/4/12 13:28,23/8/13 21:30,24/8/13 0:11,24/8/13 5:52
Nortek DW,Aquadop DW,EAC1520,A6L-5069 (AQD 6837),1800,1022,6000,1525,0,-27.3126,153.969,0,0,21/4/12 13:28,23/8/13 21:30,0/01/00 0:00,24/8/13 5:52
SBE37SMP,SBE37SMP,EAC1520,9168,600,1028,3500,1525,1,-27.3126,153.969,74,74,21/4/12 13:28,23/8/13 21:30,24/8/13 0:26,24/8/13 5:52
Star Oddi,Starmon Mini,EAC1520,T-4015,300,1222,11000,1525,1,-27.3126,153.969,0,0,21/4/12 13:28,23/8/13 21:30,24/8/13 0:34,24/8/13 5:52
Star Oddi,Starmon Mini,EAC2000,T-4016,300,22,11000,1940,1,-27.3064,153.9921,0,0,22/4/12 7:27,24/8/13 4:30,24/8/13 6:08,24/8/13 23:15
Star Oddi,Starmon Mini,EAC2000,T-4021,300,42,11000,1940,1,-27.3064,153.9921,0,0,22/4/12 7:27,24/8/13 4:30,24/8/13 6:10,24/8/13 23:15
Star Oddi,Starmon Mini,EAC2000,T-4022,300,62,11000,1940,1,-27.3064,153.9921,0,0,22/4/12 7:27,24/8/13 4:30,24/8/13 6:15,24/8/13 23:15
