Instrument type,Instrument,Mooring,Serial No,Sample Period (secs),Depth,Max Depth,Bottom Depth at deployment,T-Cal bath?,Lat,Long,Clock offset start,Clock offset end,Anchor deploy time (in),Release time (out),Time in Cal bath,Time out cal bath
SBE37SMP,SBE37SMP,EAC4800,9337,600,88,600,4797,1,-27.1083,155.2883,0,25,18/05/2015 8:21,29/10/2016 21:38,29/10/2016 23:38,31/10/2016 23:29
Star Oddi,Starmon Mini,EAC4800,T-4069,300,107,6000,4797,1,-27.1083,155.2883,0,0,18/05/2015 8:21,29/10/2016 21:38,29/10/2016 23:53,31/10/2016 23:29
Nortek DW,Aquadop DW,EAC4800,A3L-5175 (AQD 9964),1800,117,6000,4797,0,-27.1083,155.2883,0,45,18/05/2015 8:21,29/10/2016 21:38,29/10/2016 23:53,31/10/2016 23:29
SBE37SMP,SBE37SMP,EAC4800,9912,600,127,3500,4797,1,-27.1083,155.2883,0,6,18/05/2015 8:21,29/10/2016 21:38,30/10/2016 0:23,31/10/2016 23:29
Star Oddi,Starmon Mini,EAC4800,T-4047,300,147,6000,4797,1,-27.1083,155.2883,0,-600,18/05/2015 8:21,29/10/2016 21:38,30/10/2016 0:28,31/10/2016 23:29
SBE37SMP,SBE37SMP,EAC4800,11405,600,182,3500,4797,1,-27.1083,155.2883,0,0,18/05/2015 8:21,29/10/2016 21:38,30/10/2016 0:31,31/10/2016 23:29
Star Oddi,Starmon Mini,EAC4800,T-4048,300,217,6000,4797,1,-27.1083,155.2883,5,-600,18/05/2015 8:21,29/10/2016 21:38,30/10/2016 0:34,31/10/2016 23:29
SBE37SMP,SBE37SMP,EAC4800,13077,600,247,7000,4797,1,-27.1083,155.2883,0,-25,18/05/2015 8:21,29/10/2016 21:38,30/10/2016 0:36,31/10/2016 23:29
Star Oddi,Starmon Mini,EAC4800,T-4049,300,297,6000,4797,1,-27.1083,155.2883,0,-600,18/05/2015 8:21,29/10/2016 21:38,30/10/2016 0:41,31/10/2016 23:29
SBE37SMP,SBE37SMP,EAC4800,13078,600,347,7000,4797,1,-27.1083,155.2883,0,-33,18/05/2015 8:21,29/10/2016 21:38,30/10/2016 0:43,31/10/2016 23:29
SBE39,SBE39TP,EAC4800,4888,300,397,7000,4797,1,-27.1083,155.2883,0,86,18/05/2015 8:21,29/10/2016 21:38,30/10/2016 1:08,31/10/2016 23:29
