Instrument type,Instrument type,Mooring,Serial No,Sample Period (secs),Depth,Max Depth,Bottom Depth at deployment,T-Cal bath?,Lat,Long,Clock offset start,Clock offset end,Anchor deploy time (in),Release time (out),Time in Cal bath,Time out cal bath
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC4700,9882,600,33,3500,4779,1,-27.2087,154.6415,0,-4,25/4/18 6:07,13/9/19 21:58,14/9/19 5:30,15/9/19 0:30
SBE39TP        ,Sea-Bird Electronics SBE39plus             ,EAC4700,39p-8520,300,53,3500,4779,1,-27.2087,154.6415,0,-10,25/4/18 6:07,13/9/19 21:58,14/9/19 5:08,15/9/19 0:30
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC4700,9899,600,73,3500,4779,1,-27.2087,154.6415,0,12,25/4/18 6:07,13/9/19 21:58,14/9/19 5:01,15/9/19 0:30
SBE39T                        ,Sea-Bird Electronics SBE39             ,EAC4700,4613,300,93,7000,4779,1,-27.2087,154.6415,0,71,25/4/18 6:07,13/9/19 21:58,14/9/19 4:55,15/9/19 0:30
RDI ADCP,WH300,EAC4700,17055,72,113,1500,4779,0,-27.2087,154.6415,0,267,25/4/18 6:07,13/9/19 21:58,0/1/00 0:00,0/1/00 0:00
RDI ADCP,LR75,EAC4700,14434,225,113,1500,4779,0,-27.2087,154.6415,0,-39,25/4/18 6:07,13/9/19 21:58,0/1/00 0:00,0/1/00 0:00
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC4700,9909,600,128,3500,4779,1,-27.2087,154.6415,0,10,25/4/18 6:07,13/9/19 21:58,14/9/19 4:32,15/9/19 0:30
Star Oddi,Star Oddi Starmon mini,EAC4700,T-4024,300,163,6000,4779,1,-27.2087,154.6415,0,-900,25/4/18 6:07,13/9/19 21:58,14/9/19 4:26,15/9/19 0:30
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC4700,9166,600,193,3500,4779,1,-27.2087,154.6415,0,62,25/4/18 6:07,13/9/19 21:58,14/9/19 4:24,15/9/19 0:30
SBE39T                        ,Sea-Bird Electronics SBE39             ,EAC4700,4591,300,243,7000,4779,1,-27.2087,154.6415,0,65,25/4/18 6:07,13/9/19 21:58,14/9/19 4:21,15/9/19 0:30
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC4700,9186,600,293,3500,4779,1,-27.2087,154.6415,0,55,25/4/18 6:07,13/9/19 21:58,14/9/19 4:18,15/9/19 0:30
SBE39T                        ,Sea-Bird Electronics SBE39             ,EAC4700,4592,300,343,7000,4779,1,-27.2087,154.6415,0,72,25/4/18 6:07,13/9/19 21:58,14/9/19 4:08,15/9/19 0:30
Star Oddi,Star Oddi Starmon mini,EAC4700,T-4025,300,393,6000,4779,1,-27.2087,154.6415,0,-600,25/4/18 6:07,13/9/19 21:58,14/9/19 4:05,15/9/19 0:30
SBE39T                        ,Sea-Bird Electronics SBE39             ,EAC4700,4168,300,478,10000,4779,1,-27.2087,154.6415,0,89,25/4/18 6:07,13/9/19 21:58,14/9/19 4:02,15/9/19 0:30
Nortek DW,Nortek Aquadopp DW 2Mhz,EAC4700,A6L-4881 (AQD 9893),1800,593,6000,4779,0,-27.2087,154.6415,0,113,25/4/18 6:07,13/9/19 21:58,14/9/19 3:56,15/9/19 0:30
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC4700,9193,600,603,7000,4779,1,-27.2087,154.6415,0,-4,25/4/18 6:07,13/9/19 21:58,14/9/19 3:48,15/9/19 0:30
SBE39T                        ,Sea-Bird Electronics SBE39             ,EAC4700,4593,300,793,10500,4779,1,-27.2087,154.6415,0,0,25/4/18 6:07,13/9/19 21:58,14/9/19 3:48,15/9/19 0:30
Nortek DW,Nortek Aquadopp DW 2Mhz,EAC4700,A6L-4885 (AQD 9470),1800,993,6000,4779,0,-27.2087,154.6415,0,68.5,25/4/18 6:07,13/9/19 21:58,0/1/00 0:00,0/1/00 0:00
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC4700,9191,600,1003,7000,4779,1,-27.2087,154.6415,0,50,25/4/18 6:07,13/9/19 21:58,14/9/19 3:32,15/9/19 0:30
Star Oddi,Star Oddi Starmon mini,EAC4700,T-4026,300,1188,6000,4779,1,-27.2087,154.6415,0,-300,25/4/18 6:07,13/9/19 21:58,14/9/19 3:23,15/9/19 0:30
Star Oddi,Star Oddi Starmon mini,EAC4700,T-4029,300,1293,6000,4779,1,-27.2087,154.6415,0,-1200,25/4/18 6:07,13/9/19 21:58,14/9/19 3:08,15/9/19 0:30
