Instrument type,"	Instrument","	Mooring","	Serial No","	Sample Period (secs)","	Depth","	Max Depth","	Bottom Depth at deployment","	T-Cal bath?","	Lat","	Long","	Clock offset start","	Clock offset end","	Anchor deploy time (in)","	Release time (out)","	Time in Cal bath","	Time out cal bath"
SBE37,SBE37SMP,EAC0500,22652, ,40,,547,,-27.32562,153.8982,0,28,1/6/2021 6:40,26/7/2022 2:37,1/1/2001 0:00,1/1/2001 0:00
SBE37,SBE37SMP,EAC0500,13263, ,60,,547,,-27.32562,153.8982,0,1,1/6/2021 6:40,26/7/2022 2:37,1/1/2001 0:00,1/1/2001 0:00
SBE37,SBE37SMP,EAC0500,15105, ,80,,547,,-27.32562,153.8982,0,3,1/6/2021 6:40,26/7/2022 2:37,1/1/2001 0:00,1/1/2001 0:00
SBE37,SBE37SMP,EAC0500,15884, ,100,,547,,-27.32562,153.8982,0,2,1/6/2021 6:40,26/7/2022 2:37,1/1/2001 0:00,1/1/2001 0:00
SBE37,SBE37SMP,EAC0500,22597, ,135,,547,,-27.32562,153.8982,0,14,1/6/2021 6:40,26/7/2022 2:37,1/1/2001 0:00,1/1/2001 0:00
SBE37,SBE37SMP,EAC0500,9175, ,170,,547,,-27.32562,153.8982,0,-28,1/6/2021 6:40,26/7/2022 2:37,1/1/2001 0:00,1/1/2001 0:00
SBE37,SBE37SMP,EAC0500,9184, ,200,,547,,-27.32562,153.8982,0,-40,1/6/2021 6:40,26/7/2022 2:37,1/1/2001 0:00,1/1/2001 0:00
SBE39,SBE39,EAC0500,4777, ,250,,547,,-27.32562,153.8982,0,-66,1/6/2021 6:40,26/7/2022 2:37,1/1/2001 0:00,1/1/2001 0:00
SBE37,SBE37SMP,EAC0500,9899, ,300,,547,,-27.32562,153.8982,0,-17,1/6/2021 6:40,26/7/2022 2:37,1/1/2001 0:00,1/1/2001 0:00
RDI ADCP,WHLS75-I-2,EAC0500,9788, ,350,,547,,-27.32562,153.8982,0,43,1/6/2021 6:40,26/7/2022 2:37,1/1/2001 0:00,1/1/2001 0:00
SBE39,SBE39,EAC0500,4779, ,350,,547,,-27.32562,153.8982,0,-65,1/6/2021 6:40,26/7/2022 2:37,1/1/2001 0:00,1/1/2001 0:00
SBE39,SBE39,EAC0500,4780, ,400,,547,,-27.32562,153.8982,0,-72,1/6/2021 6:40,26/7/2022 2:37,1/1/2001 0:00,1/1/2001 0:00
RDI ADCP,WHS300-I-UG306,EAC0500,14254, ,440,,547,,-27.32562,153.8982,0,64,1/6/2021 6:40,26/7/2022 2:37,1/1/2001 0:00,1/1/2001 0:00
Nortek DW,Aquadopp DW 2MHz,EAC0500,A6L-5009 (AQD 9890), ,477,,547,,-27.32562,153.8982,0,-51,1/6/2021 6:40,26/7/2022 2:37,1/1/2001 0:00,1/1/2001 0:00
SBE37,SBE37SMP,EAC0500,9911, ,477,,547,,-27.32562,153.8982,0,-4,1/6/2021 6:40,26/7/2022 2:37,1/1/2001 0:00,1/1/2001 0:00
SBE37,SBE37SMP,EAC2000,9333, ,51,,1898,,-27.3126,154.0022667,0,32,2/6/2021 4:35,25/7/2022 21:30,1/1/2001 0:00,1/1/2001 0:00
SBE37,SBE37SMP,EAC2000,22646, ,71,,1898,,-27.3126,154.0022667,0,-34,2/6/2021 4:35,25/7/2022 21:30,1/1/2001 0:00,1/1/2001 0:00
SBE37,SBE37SMP,EAC2000,15132, ,91,,1898,,-27.3126,154.0022667,0,-5,2/6/2021 4:35,25/7/2022 21:30,1/1/2001 0:00,1/1/2001 0:00
SBE37,SBE37SMP,EAC2000,23198, ,111,,1898,,-27.3126,154.0022667,0,-5,2/6/2021 4:35,25/7/2022 21:30,1/1/2001 0:00,1/1/2001 0:00
SBE37,SBE37SMP,EAC2000,22599, ,146,,1898,,-27.3126,154.0022667,0,-21,2/6/2021 4:35,25/7/2022 21:30,1/1/2001 0:00,1/1/2001 0:00
SBE37,SBE37SMP,EAC2000,9176, ,181,,1898,,-27.3126,154.0022667,0,37,2/6/2021 4:35,25/7/2022 21:30,1/1/2001 0:00,1/1/2001 0:00
SBE37,SBE37SMP,EAC2000,9185, ,211,,1898,,-27.3126,154.0022667,0,49,2/6/2021 4:35,25/7/2022 21:30,1/1/2001 0:00,1/1/2001 0:00
RDI ADCP,WHLS75-I-2,EAC2000,24659, ,251,,1898,,-27.3126,154.0022667,0,237,2/6/2021 4:35,25/7/2022 21:30,1/1/2001 0:00,1/1/2001 0:00
SBE37,SBE37SMP,EAC2000,9895, ,256,,1898,,-27.3126,154.0022667,0,24,2/6/2021 4:35,25/7/2022 21:30,1/1/2001 0:00,1/1/2001 0:00
SBE37,SBE37SMP,EAC2000,9900, ,311,,1898,,-27.3126,154.0022667,0,23,2/6/2021 4:35,25/7/2022 21:30,1/1/2001 0:00,1/1/2001 0:00
SBE39,SBE39,EAC2000,4197, ,361,,1898,,-27.3126,154.0022667,0,60,2/6/2021 4:35,25/7/2022 21:30,1/1/2001 0:00,1/1/2001 0:00
SBE39,SBE39plus,EAC2000,39p-8520, ,411,,1898,,-27.3126,154.0022667,0,2,2/6/2021 4:35,25/7/2022 21:30,1/1/2001 0:00,1/1/2001 0:00
SBE37,SBE37SMP,EAC2000,11401, ,471,,1898,,-27.3126,154.0022667,0,26,2/6/2021 4:35,25/7/2022 21:30,1/1/2001 0:00,1/1/2001 0:00
